Team,Opponent,Result,Points
Vancouver Titans,Shanghai Dragons,Won,1
Vancouver Titans,Hangzhou Spark,Lost,-2
Vancouver Titans,Dreamers,Lost,-1
Vancouver Titans,Los Angeles Valiant,Lost,-2
Vancouver Titans,Saints,Won,2
Vancouver Titans,Seoul Dynasty,Won,3
Vancouver Titans,Washington Justice,Lost,-2
Vancouver Titans,Trick Room,Won,2
Vancouver Titans,Atlanta Reign,Won,3
Vancouver Titans,Vegas Eternal,Won,3
Vancouver Titans,Florida Mayhem,Won,2
Vancouver Titans,Timeless,Lost,-3
Vancouver Titans,O2 Blast,Lost,-1
Vancouver Titans,Los Angeles Gladiators,Lost,-1
Vancouver Titans,Boston Uprising,Lost,-2
Vancouver Titans,WISP,Won,3
Vancouver Titans,Houston Outlaws,Lost,-2
Vancouver Titans,San Francisco Shock,Lost,-1
Vancouver Titans,London Spitfire,Won,2
Vancouver Titans,Twisted Minds,Lost,-2
Vancouver Titans,Sin Prisa Gaming,Lost,-2
Vancouver Titans,Guangzhou Charge,Lost,-1
Vancouver Titans,Redbird Esports,Won,3
Vancouver Titans,PANTHERA,Won,2
Vancouver Titans,Team Peps,Won,2
Vancouver Titans,Poker Face,Lost,-2
Vancouver Titans,New York Excelsior,Won,1
Vancouver Titans,Toronto Defiant,Won,1
Vancouver Titans,Rhodes,Won,2
Vancouver Titans,Dallas Fuel,Lost,-3
Vancouver Titans,Seoul Infernal,Lost,-1
Team,Opponent,Result,Points
Vancouver Titans,Shanghai Dragons,Won,1
Vancouver Titans,Hangzhou Spark,Lost,-3
Vancouver Titans,Dreamers,Lost,-2
Vancouver Titans,Los Angeles Valiant,Won,1
Vancouver Titans,Saints,Lost,-1
Vancouver Titans,Seoul Dynasty,Lost,-2
Vancouver Titans,Washington Justice,Lost,-3
Vancouver Titans,Trick Room,Won,2
Vancouver Titans,Atlanta Reign,Won,3
Vancouver Titans,Vegas Eternal,Won,3
Vancouver Titans,Florida Mayhem,Won,2
Vancouver Titans,Timeless,Won,1
Vancouver Titans,O2 Blast,Won,2
Vancouver Titans,Los Angeles Gladiators,Lost,-2
Vancouver Titans,Boston Uprising,Lost,-3
Vancouver Titans,WISP,Won,1
Vancouver Titans,Houston Outlaws,Lost,-1
Vancouver Titans,San Francisco Shock,Won,2
Vancouver Titans,London Spitfire,Lost,-1
Vancouver Titans,Twisted Minds,Lost,-1
Vancouver Titans,Sin Prisa Gaming,Won,2
Vancouver Titans,Guangzhou Charge,Won,2
Vancouver Titans,Redbird Esports,Won,1
Vancouver Titans,PANTHERA,Lost,-2
Vancouver Titans,Team Peps,Lost,-2
Vancouver Titans,Poker Face,Won,3
Vancouver Titans,New York Excelsior,Won,1
Vancouver Titans,Toronto Defiant,Won,1
Vancouver Titans,Rhodes,Lost,-2
Vancouver Titans,Dallas Fuel,Won,3
Vancouver Titans,Seoul Infernal,Won,1
Team,Opponent,Result,Points
Vancouver Titans,Shanghai Dragons,Lost,-1
Vancouver Titans,Hangzhou Spark,Won,1
Vancouver Titans,Dreamers,Won,2
Vancouver Titans,Los Angeles Valiant,Won,1
Vancouver Titans,Saints,Won,1
Vancouver Titans,Seoul Dynasty,Won,1
Vancouver Titans,Washington Justice,Lost,-2
Vancouver Titans,Trick Room,Won,1
Vancouver Titans,Atlanta Reign,Won,1
Vancouver Titans,Vegas Eternal,Won,2
Vancouver Titans,Florida Mayhem,Won,2
Vancouver Titans,Timeless,Lost,-1
Vancouver Titans,O2 Blast,Won,3
Vancouver Titans,Los Angeles Gladiators,Lost,-2
Vancouver Titans,Boston Uprising,Lost,-2
Vancouver Titans,WISP,Lost,-1
Vancouver Titans,Houston Outlaws,Lost,-3
Vancouver Titans,San Francisco Shock,Lost,-1
Vancouver Titans,London Spitfire,Lost,-1
Vancouver Titans,Twisted Minds,Lost,-3
Vancouver Titans,Sin Prisa Gaming,Lost,-2
Vancouver Titans,Guangzhou Charge,Won,1
Vancouver Titans,Redbird Esports,Lost,-2
Vancouver Titans,PANTHERA,Lost,-2
Vancouver Titans,Team Peps,Lost,-2
Vancouver Titans,Poker Face,Lost,-2
Vancouver Titans,New York Excelsior,Won,2
Vancouver Titans,Toronto Defiant,Won,1
Vancouver Titans,Rhodes,Lost,-3
Vancouver Titans,Dallas Fuel,Lost,-2
Vancouver Titans,Seoul Infernal,Won,1
Team,Opponent,Result,Points
Vancouver Titans,Shanghai Dragons,Won,2
Vancouver Titans,Hangzhou Spark,Won,3
Vancouver Titans,Dreamers,Won,1
Vancouver Titans,Los Angeles Valiant,Won,2
Vancouver Titans,Saints,Lost,-2
Vancouver Titans,Seoul Dynasty,Lost,-2
Vancouver Titans,Washington Justice,Lost,-2
Vancouver Titans,Trick Room,Lost,-1
Vancouver Titans,Atlanta Reign,Lost,-1
Vancouver Titans,Vegas Eternal,Lost,-1
Vancouver Titans,Florida Mayhem,Lost,-3
Vancouver Titans,Timeless,Lost,-3
Vancouver Titans,O2 Blast,Lost,-2
Vancouver Titans,Los Angeles Gladiators,Won,1
Vancouver Titans,Boston Uprising,Lost,-1
Vancouver Titans,WISP,Won,3
Vancouver Titans,Houston Outlaws,Lost,-2
Vancouver Titans,San Francisco Shock,Lost,-2
Vancouver Titans,London Spitfire,Lost,-1
Vancouver Titans,Twisted Minds,Lost,-1
Vancouver Titans,Sin Prisa Gaming,Lost,-1
Vancouver Titans,Guangzhou Charge,Won,1
Vancouver Titans,Redbird Esports,Won,3
Vancouver Titans,PANTHERA,Lost,-3
Vancouver Titans,Team Peps,Won,1
Vancouver Titans,Poker Face,Lost,-1
Vancouver Titans,New York Excelsior,Won,2
Vancouver Titans,Toronto Defiant,Won,1
Vancouver Titans,Rhodes,Lost,-3
Vancouver Titans,Dallas Fuel,Won,1
Vancouver Titans,Seoul Infernal,Lost,-2
Team,Opponent,Result,Points
Vancouver Titans,Shanghai Dragons,Lost,-1
Vancouver Titans,Hangzhou Spark,Lost,-3
Vancouver Titans,Dreamers,Lost,-1
Vancouver Titans,Los Angeles Valiant,Won,3
Vancouver Titans,Saints,Lost,-1
Vancouver Titans,Seoul Dynasty,Lost,-3
Vancouver Titans,Washington Justice,Lost,-2
Vancouver Titans,Trick Room,Won,3
Vancouver Titans,Atlanta Reign,Won,2
Vancouver Titans,Vegas Eternal,Won,3
Vancouver Titans,Florida Mayhem,Lost,-2
Vancouver Titans,Timeless,Lost,-2
Vancouver Titans,O2 Blast,Won,3
Vancouver Titans,Los Angeles Gladiators,Won,3
Vancouver Titans,Boston Uprising,Won,1
Vancouver Titans,WISP,Lost,-2
Vancouver Titans,Houston Outlaws,Lost,-2
Vancouver Titans,San Francisco Shock,Won,2
Vancouver Titans,London Spitfire,Won,2
Vancouver Titans,Twisted Minds,Lost,-2
Vancouver Titans,Sin Prisa Gaming,Lost,-1
Vancouver Titans,Guangzhou Charge,Lost,-3
Vancouver Titans,Redbird Esports,Lost,-2
Vancouver Titans,PANTHERA,Lost,-2
Vancouver Titans,Team Peps,Won,1
Vancouver Titans,Poker Face,Lost,-1
Vancouver Titans,New York Excelsior,Lost,-3
Vancouver Titans,Toronto Defiant,Lost,-3
Vancouver Titans,Rhodes,Won,2
Vancouver Titans,Dallas Fuel,Won,3
Vancouver Titans,Seoul Infernal,Lost,-3
Team,Opponent,Result,Points
Vancouver Titans,Shanghai Dragons,Won,3
Vancouver Titans,Hangzhou Spark,Won,1
